,author,co-author,doi,co-author_list,title
365,"Bosshardt, S","['Henke, K']",['10.1016/S0010-9452(08)70189-8'],"{'Henke, K'}",['Effects of memory consolidation on human hippocampal activity during retrieval']
366,"Donohue, SE","['Bunge, SA']",['10.1016/j.neuroimage.2005.03.019'],"{'Bunge, SA'}",['Retrieving rules for behavior from long-term memory']
367,"Law, JR","['Stark, CEL']",['10.1523/JNEUROSCI.4935-04.2005'],"{'Stark, CEL'}",['Functional magnetic resonance imaging activity during the gradual acquisition and expression of paired-associate memory']
368,"Welchman, AE","['Kourtzi, Z']",['10.1038/nn1461'],"{'Kourtzi, Z'}",['3D shape perception from combined depth cues in human visual cortex']
369,"Eldridge, LL","['Knowlton, BJ']",['10.1523/JNEUROSCI.3420-04.2005'],"{'Knowlton, BJ'}",['A dissociation of encoding and retrieval processes in the human hippocampus']
370,"Wolbers, T","['Buchel, C', 'Buchel, C']","['10.1523/JNEUROSCI.4705-04.2005', '10.1016/j.cogbrainres.2004.06.013']","{'Buchel, C'}","['Dissociable retrosplenial and hippocampal contributions to successful formation of survey representations', 'Neural foundations of emerging route knowledge in complex spatial environments']"
371,"Zarahn, E","['Stern, Y']",['10.1093/cercor/bhh132'],"{'Stern, Y'}",['Positive evidence against human hippocampal involvement in working memory maintenance of familiar stimuli']
372,"Sugiura, M","['Fink, GR']",['10.1162/0898929053124956'],"{'Fink, GR'}",['Cortical representations of personally familiar objects and places: Functional organization of the human posterior cingulate cortex']
373,"Petrella, JR","['Doraiswamy, PM']",['10.1176/appi.neuropsych.17.1.75'],"{'Doraiswamy, PM'}",['Increasing memory load modulates regional brain activity in older adults as measured by fMRI']
374,"Schott, BH","['Duzel, E', 'Duzel, E']","['10.1073/pnas.0409070102', '10.1101/lm.75004']","{'Duzel, E'}","['Redefining implicit and explicit memory: The functional neuroanatomy of priming, remembering, and control of retrieval', 'Activation of midbrain structures by associative novelty and the formation of explicit memory in humans']"
375,"Meltzer, JA","['Constable, RT']",['10.1016/j.neuroimage.2004.09.001'],"{'Constable, RT'}",['Activation of human hippocampal formation reflects success in both encoding and cued recall of paired associates']
376,"Brozinsky, CJ","['Ranganath, C']",['10.1002/hipo.20087'],"{'Ranganath, C'}",['Lag-sensitive repetition suppression effects in the anterior parahippocampal gyrus']
377,"Kohler, S","['Menon, RS', 'Milner, B']","['10.1002/hipo.20098', '10.1002/hipo.10077']","{'Menon, RS', 'Milner, B'}","['Novelty responses to relational and non-relational information in the hippocampus and the parahippocampal region: A comparison based on event-related fMRI', 'Differential contributions of the parahippocampal place area and the anterior hippocampus to human memory for scenes']"
378,"Weis, S","['Fernandez, G']",[nan],"{'Fernandez, G'}",['Process dissociation between contextual retrieval and item recognition']
379,"Meulenbroek, O","['Fernandez, G']",['10.1016/j.neuroimage.2004.04.007'],"{'Fernandez, G'}",['Age differences in neural correlates of route encoding and route recognition']
380,"Zacks, JM","['Ojemann, JG']",['10.1212/01.WNL.0000129844.11712.D8'],"{'Ojemann, JG'}",['Functional reorganization of spatial transformations after a parietal lesion']
381,"Mayes, AR","['Roberts, N']",['10.1037/0894-4105.18.3.426'],"{'Roberts, N'}",['Recalling spatial information as a component of recently and remotely acquired episodic or semantic memories: an fMRI study']
382,"Parslow, DM","['Morris, RG']",['10.1037/0894-4105.18.3.450'],"{'Morris, RG'}",['Allocentric spatial memory activation of the hippocampal formation measured with fMRI']
383,"Slotnick, SD","['Schacter, DL']",['10.1038/nn1252'],"{'Schacter, DL'}",['A sensory signature that distinguishes true from false memories']
384,"Janzen, G","['van Turennout, M']",['10.1038/nn1257'],"{'van Turennout, M'}",['Selective neural representation of objects relevant for navigation']
385,"Gottfried, JA","['Dolan, RJ']",['10.1016/S0896-6273(04)00270-3'],"{'Dolan, RJ'}",['Remembrance of odors past: Human olfactory cortex in cross-modal recognition memory']
386,"Pihlajamaki, M","['Aronen, HJ', 'Soininen, H']","['10.1111/j.1460-9568.2004.03282.x', '10.1002/hipo.10049']","{'Soininen, H', 'Aronen, HJ'}","['Visual presentation of novel objects and new spatial arrangements of objects differentially activates the medial temporal lobe subareas in humans', 'Encoding of novel picture pairs activates the perirhinal cortex: An fMRI study']"
387,"Duzel, E","['Heinze, HJ', 'Heinze, HJ', 'Schott, BH', 'Schott, BH']","['10.1111/j.1460-9568.2004.03253.x', nan, '10.1073/pnas.0409070102', '10.1101/lm.75004']","{'Heinze, HJ', 'Schott, BH'}","['Four types of novelty-familiarity responses in associative recognition memory of humans', 'Human hippocampal and parahippocampal activity during visual associative recognition memory for spatial and nonspatial stimulus configurations', 'Redefining implicit and explicit memory: The functional neuroanatomy of priming, remembering, and control of retrieval', 'Activation of midbrain structures by associative novelty and the formation of explicit memory in humans']"
388,"Bremmer, F","['Duhamel, JR']",['10.1080/13506280344000275'],"{'Duhamel, JR'}",['Multisensory self-motion encoding in parietal cortex']
389,"Jordan, K","['Jancke, L']",['10.1097/00001756-200401190-00026'],"{'Jancke, L'}",['Different cortical activations for subjects using allocentric or egocentric strategies in a virtual navigation task']
390,"Heckers, S","['Titone, D']",['10.1002/hipo.10189'],"{'Titone, D'}",['Hippocampal activation during transitive inference in humans']
391,"Kirwan, CB","['Stark, CEL']",['10.1002/hipo.20014'],"{'Stark, CEL'}",['Medial temporal lobe activation during encoding and retrieval of novel face-name pairs']
392,"Wig, GS","['Kelley, WM']",['10.1162/089892904322755629'],"{'Kelley, WM'}",['Separable routes to human memory formation: Dissociating task and material contributions in the prefrontal cortex']
393,"Ranganath, C","[""D'Esposito, M"", 'Brozinsky, CJ']","['10.1016/j.neuropsychologia.2003.07.006', '10.1002/hipo.20087']","{'Brozinsky, CJ', ""D'Esposito, M""}","['Dissociable correlates of recollection and familiarity within the medial temporal lobes', 'Lag-sensitive repetition suppression effects in the anterior parahippocampal gyrus']"
394,"Lux, S","['Fink, GR']",['10.1016/j.neuroimage.2003.09.009'],"{'Fink, GR'}",['Neural mechanisms associated with attention to temporal synchrony versus spatial orientation: an fMRI study']
395,"Lepage, M","['Bourgouin, P']",['10.1016/S0304-3940(03)00578-0'],"{'Bourgouin, P'}",['Prefrontal cortex contribution to associative recognition memory in humans: an event-related functional magnetic resonance imaging study']
396,"Stark, CEL","['Okado, Y', 'Law, JR', 'Kirwan, CB']","[nan, '10.1523/JNEUROSCI.4935-04.2005', '10.1002/hipo.20014']","{'Okado, Y', 'Law, JR', 'Kirwan, CB'}","['Making memories without trying: Medial temporal lobe activity associated with incidental memory formation during recognition', 'Functional magnetic resonance imaging activity during the gradual acquisition and expression of paired-associate memory', 'Medial temporal lobe activation during encoding and retrieval of novel face-name pairs']"
397,"Casasanto, D",[],['10.1016/S0911-6044(03)00020-4'],set(),"['Hemispheric specialization in prefrontal cortex: effects of verbalizability, imageability and meaning']"
398,"Onitsuka, T","['McCarley, RW']",['10.1001/archpsyc.60.4.349'],"{'McCarley, RW'}",['Fusiform gyrus volume reduction and facial recognition in chronic schizophrenia']
399,"van Turennout, M","['Martin, A', 'Janzen, G']","['10.1093/cercor/13.4.381', '10.1038/nn1257']","{'Martin, A', 'Janzen, G'}","['Modulation of neural activity during object naming: Effects of time and practice', 'Selective neural representation of objects relevant for navigation']"
400,"Kensinger, EA","['Corkin, S']",[nan],"{'Corkin, S'}",['What neural correlates underlie successful encoding and retrieval? A functional magnetic resonance Imaging study using a divided attention paradigm']
401,"Hartley, T","['Burgess, N']",['10.1016/S0896-6273(03)00095-3'],"{'Burgess, N'}",['The well-worn route and the path less traveled: Distinct neural bases of route following and wayfinding in humans']
402,"O'Brien, CE","['Cook, MJ']",['10.1002/hipo.10128'],"{'Cook, MJ'}",['Neuropsychological correlates of hippocampal and rhinal cortex volumes in patients with mesial temporal sclerosis']
403,"Ruff, CC","['Spreer, J']",['10.1016/S0028-3932(03)00016-2'],"{'Spreer, J'}",['Reasoning and working memory: common and distinct neuronal processes']
404,"Otten, LJ","['Rugg, MD']",['10.1038/nn967'],"{'Rugg, MD'}",['State-related and item-related neural correlates of successful memory encoding']
405,"Simons, JS","['Hodges, JR']",['10.1016/S0749-596X(02)00003-7'],"{'Hodges, JR'}","[""Perceptual and semantic contributions to episodic memory: evidence from semantic dementia and Alzheimer's disease""]"
406,"Davachi, L","['Wagner, AD']",['10.1152/jn.2002.88.2.982'],"{'Wagner, AD'}",['Hippocampal contributions to episodic encoding: Insights from relational and item-based learning']
407,"Niki, K","['Luo, J']",['10.1162/089892902317362010'],"{'Luo, J'}",['An fMRI study on the time-limited role of the medial temporal lobe in long-term topographical autobiographic memory']
408,"Pine, DS","['Bilder, RM']",['10.1006/nimg.2001.0988'],"{'Bilder, RM'}",['Neurodevelopmental aspects of spatial navigation: A virtual reality fMRI study']
409,"Raye, CL","['Greene, EJ']",['10.1006/nimg.2001.0983'],"{'Greene, EJ'}",['Neuroimaging a single thought: Dorsolateral PFC activity associated with refreshing just-activated information']
410,"Strange, BA","['Dolan, RJ']",['10.1523/JNEUROSCI.22-02-00523.2002'],"{'Dolan, RJ'}","['Dissociable human perirhinal, hippocampal, and parahippocampal roles during verbal encoding']"
411,"Zorrilla, LTE","['Brown, GG']",['10.1176/appi.ajgp.10.1.52'],"{'Brown, GG'}",['Functional MRI and novel picture-learning among older patients with chronic schizophrenia - Abnormal correlations between recognition memory and medial temporal brain response']
412,"Reber, PJ","['Buxton, RB']",['10.1002/hipo.10018'],"{'Buxton, RB'}",['Encoding activity in the medial temporal lobe examined with anatomically constrained fMRI analysis']
413,"Vaidya, CJ","['Gabrieli, JDE']",['10.1016/S0028-3932(02)00053-2'],"{'Gabrieli, JDE'}",['Evidence for cortical encoding specificity in episodic memory: memory-induced re-activation of picture processing areas']
414,"Haberecht, MF","['Reiss, AL']",['10.1002/hbm.1044'],"{'Reiss, AL'}",['Functional neuroanatomy of visuo-spatial working memory in Turner syndrome']
415,"Dade, LA","['Jones-Gotman, M']",['10.1037/0894-4105.15.4.525'],"{'Jones-Gotman, M'}",['Face learning and memory: The twins test']
416,"Berthoz, A",[],[nan],set(),['Neural basis of spatial orientation and memory of routes: topokinetic memory or topokinesthesic memory.']
417,"Thai, NJ","['Parker, A']",[nan],"{'Parker, A'}",['An event-related fMRI study of visual object recognition memory in humans']
418,"Thomas, KGF","['Jacobs, WJ']",['10.3758/BF03195344'],"{'Jacobs, WJ'}",['Place learning in virtual space III: Investigation of spatial navigation training procedures and their application to fMRI and clinical neuropsychology']
419,"Jernigan, TL","['Fennema-Notestine, C']",['10.1017/S1355617701711071'],"{'Fennema-Notestine, C'}","['Mesial temporal, diencephalic, and striatal contributions to deficits in single word reading, word priming, and recognition memory']"
420,"Donaldson, DI","['Buckner, RL']",['10.1006/nimg.2000.0664'],"{'Buckner, RL'}",['Dissociating state and item components of recognition memory using fMRI']
421,"Buckner, RL","['Wheeler, ME', 'Rosen, BR', 'Donaldson, DI']","['10.1016/S0001-6918(00)00057-3', '10.1006/nimg.1998.0327', '10.1006/nimg.2000.0664']","{'Donaldson, DI', 'Wheeler, ME', 'Rosen, BR'}","['Cognitive neuroscience of episodic memory encoding', 'Functional-anatomic study of episodic retrieval using fMRI I. Retrieval effort versus retrieval success', 'Dissociating state and item components of recognition memory using fMRI']"
422,"McDermott, KB","['Roediger, HL', 'Sanders, AL']","['10.1162/08989290051137503', '10.1162/089892999563698']","{'Roediger, HL', 'Sanders, AL'}","['Retrieval success is accompanied by enhanced activation in anterior prefrontal cortex during recognition memory: An event-related fMRI study', 'Set- and code-specific activation in the frontal cortex: An fMRI study of encoding and retrieval of faces and words']"
423,"Mitchell, KJ","[""D'Esposito, M""]",['10.1016/S0926-6410(00)00029-X'],"{""D'Esposito, M""}",['fMRI evidence of age-related hippocampal dysfunction in feature binding in working memory']
424,"Ng, VWK","['Benton, AL']",['10.1002/(SICI)1097-0193(200006)10:2<80::AID-HBM40>3.0.CO;2-2'],"{'Benton, AL'}",['Hemispheric preference in visuospatial processing: A complementary approach with fMRI and lesion studies']
425,"Opitz, B","['Friederici, AD']",['10.1101/lm.7.2.85'],"{'Friederici, AD'}",['Functional asymmetry of human prefrontal cortex: Encoding and retrieval of verbally and nonverbally coded information']
426,"Gonzalo, D","['Dolan, R']",['10.1006/nimg.2000.0540'],"{'Dolan, R'}",['Time-dependent changes in learning audiovisual associations: A single-trial fMRI study']
427,"Leveroni, CL","['Rao, SM']",['10.1523/JNEUROSCI.20-02-00878.2000'],"{'Rao, SM'}",['Neural systems underlying the recognition of familiar and newly learned faces']
428,"Senior, C","['David, AS']",['10.1016/S0960-9822(99)00259-6'],"{'David, AS'}","[""The functional neuroanatomy of implicit-motion perception or 'representational momentum'""]"
429,"Iidaka, T","['Yonekura, Y']",['10.1016/S0926-6410(99)00047-6'],"{'Yonekura, Y'}",['Functional asymmetry of human prefrontal cortex in verbal and non-verbal episodic memory as revealed by fMRI']
430,"Hoffman, EA","['Haxby, JV']",['10.1038/71152'],"{'Haxby, JV'}",['Distinct representations of eye gaze and identity in the distributed human neural system for face perception']
431,"Katanoda, K","['Sugishita, M']",['10.1016/S0028-3932(00)00069-5'],"{'Sugishita, M'}",['Neural substrates for the recognition of newly learned faces: a functional MRI study']
432,"Fink, GR","['Zilles, K', 'Piefke, M', 'Sugiura, M', 'Lux, S']","['10.1016/S0028-3932(00)00078-6', '10.1007/s00429-005-0038-0', '10.1162/0898929053124956', '10.1016/j.neuroimage.2003.09.009']","{'Zilles, K', 'Piefke, M', 'Lux, S', 'Sugiura, M'}","[""'Where' depends on 'what': A differential functional anatomy for position discrimination in one- versus two-dimensions"", ""Recollections of one's own past: the effects of aging and gender on the neural mechanisms of episodic autobiographical memory"", 'Cortical representations of personally familiar objects and places: Functional organization of the human posterior cingulate cortex', 'Neural mechanisms associated with attention to temporal synchrony versus spatial orientation: an fMRI study']"
433,"Canli, T","['Gabrieli, JDE']",[nan],"{'Gabrieli, JDE'}",['fMRI identifies a network of structures correlated with retention of positive and negative emotional memory']
434,"Goldenberg, G","['Arnold, U']",['10.1136/jnnp.67.2.163'],"{'Arnold, U'}",['Basal forebrain amnesia: does the nucleus accumbens contribute to human memory?']
435,"Epstein, R","['Kanwisher, N', 'Kanwisher, N']","['10.1016/S0896-6273(00)80758-8', '10.1038/33402']","{'Kanwisher, N'}","['The parahippocampal place area: Recognition, navigation, or encoding?', 'A cortical representation of the local visual environment']"
436,"Rombouts, SARB","['Witter, MP']",['10.1002/(SICI)1098-1063(1999)9:6<637::AID-HIPO4>3.0.CO;2-V'],"{'Witter, MP'}",['Parametric fMRI analysis of visual encoding in the human medial temporal lobe']
437,"Nunn, JA","['Morris, RG']",['10.1016/S0028-3932(98)00030-X'],"{'Morris, RG'}",['Selective spatial memory impairment after right unilateral temporal lobectomy']
438,"Mackay, CE","['Mann, D']",['10.1155/1998/285061'],"{'Mann, D'}",['An exploratory study of the relationship between face recognition memory and the volume of medial temporal lobe structures in healthy young males']
439,"Bigler, ED","['Abildskov, TJ']",['10.1037/0894-4105.10.3.333'],"{'Abildskov, TJ'}",['Traumatic brain injury and memory: The role of hippocampal atrophy']
440,"Kirwan, C. Brock","['Nash, Michelle I.', 'Motley, Sarah E.']","['10.1002/hipo.23299', '10.1523/JNEUROSCI.5920-11.2012']","{'Motley, Sarah E.', 'Nash, Michelle I.'}","['Pattern separation beyond the hippocampus: A high-resolution whole-brain investigation of mnemonic discrimination in healthy adults', 'A Parametric Investigation of Pattern Separation Processes in the Medial Temporal Lobe']"
441,"Arleo, Angelo","['Agathos, Catherine Persephone']",['10.3389/fnagi.2020.588653'],"{'Agathos, Catherine Persephone'}",['Postural Control While Walking Interferes With Spatial Learning in Older Adults Navigating in a Real Environment']
442,"Luo, Jing","['Zhang, Ze']",['10.1155/2020/1049721'],"{'Zhang, Ze'}",['The Function of the Hippocampus in Bridging Functional and Temporal Discontiguity']
443,"Zalesky, Andrew","['Seguin, Caio']",['10.1162/netn_a_00161'],"{'Seguin, Caio'}",['Network communication models improve the behavioral and functional predictive utility of the human structural connectome']
444,"Misic, Bratislav","['Vazquez-Rodriguez, Bertha']",['10.1162/netn_a_00153'],"{'Vazquez-Rodriguez, Bertha'}",['Signal propagation via cortical hierarchies']
445,"Arzy, Shahar","['Monsa, Rotem', 'Peer, Michael']","['10.1162/jocn_a_01615', '10.7554/eLife.47492']","{'Peer, Michael', 'Monsa, Rotem'}","['Processing of Different Temporal Scales in the Human Brain', 'Processing of different spatial scales in the human brain']"
446,"Hallquist, Michael N.","['Dombrovski, Alexandre Y.']",['10.1038/s41467-020-18864-0'],"{'Dombrovski, Alexandre Y.'}",['Differential reinforcement encoding along the hippocampal long axis helps resolve the explore-exploit dilemma']
447,"Harrison, Neil A.","['Berens, Sam C.']",['10.1038/s41386-020-00811-8'],"{'Berens, Sam C.'}",['Minocycline differentially modulates human spatial memory systems']
448,"Severac Cauquil, Alexandra","['Aedo-Jury, Felipe']",['10.3389/fnint.2020.00043'],"{'Aedo-Jury, Felipe'}",['Antero-Posterior vs. Lateral Vestibular Input Processing in Human Visual Cortex']
449,"Pitzalis, Sabrina","['Sulpizio, Valentina']",['10.1007/s00429-020-02112-8'],"{'Sulpizio, Valentina'}",['A common neural substrate for processing scenes and egomotion-compatible visual motion']
450,"Wagner, Anthony D.","['Brown, Thackery, I', 'van Kesteren, Marlieke T. R.', 'Chen, Janice', 'LaRocque, Karen F.', 'Dudukovic, Nicole M.', 'Preston, Alison R.']","['10.1016/j.cub.2020.03.006', '10.3389/fnhum.2018.00486', '10.1152/jn.00149.2015', '10.1523/JNEUROSCI.4293-12.2013', '10.1162/jocn.2010.21509', '10.1162/jocn.2009.21195']","{'Dudukovic, Nicole M.', 'van Kesteren, Marlieke T. R.', 'Brown, Thackery, I', 'Preston, Alison R.', 'LaRocque, Karen F.', 'Chen, Janice'}","['Stress Disrupts Human Hippocampal-Prefrontal Function during Prospective Spatial Navigation and Hinders Flexible Behavior', 'Learned Spatial Schemas and Prospective Hippocampal Activity Support Navigation After One-Shot Learning', 'Prediction strength modulates responses in human area CA1 to sequence violations', 'Global Similarity and Pattern Separation in the Human Medial Temporal Lobe Predict Subsequent Memory', 'High-resolution fMRI Reveals Match Enhancement and Attentional Modulation in the Human Medial Temporal Lobe', 'High-resolution fMRI of Content-sensitive Subsequent Memory Responses in Human Medial Temporal Lobe']"
451,"Schuck, Nicolas W.","['Koch, Christoph']",['10.1016/j.neuropsychologia.2020.107379'],"{'Koch, Christoph'}",['Effects of aging on encoding of walking direction in the human brain']
452,"Piazza, Manuela","['Vigano, Simone']",['10.1523/JNEUROSCI.1849-19.2020'],"{'Vigano, Simone'}",['Distance and Direction Codes Underlie Navigation of a Novel Semantic Space in the Human Brain']
453,"Jacobson, Sandra W.","['Dodge, Neil C.']",['10.1111/acer.14310'],"{'Dodge, Neil C.'}",['Reduced Hippocampal Volumes Partially Mediate Effects of Prenatal Alcohol Exposure on Spatial Navigation on a Virtual Water Maze Task in Children']
454,"Ryan, Lee","['Lawrence, Ashley, V']",['10.1002/hipo.23203'],"{'Lawrence, Ashley, V'}",['Medial temporal lobe regions mediate complex visual discriminations for both objects and scenes: A process-based view']
455,"Levine, Brian","['Petrican, Raluca', 'Petrican, Raluca', 'Palombo, Daniela J.', 'Palombo, Daniela J.']","['10.1523/ENEURO.0531-19.2020', '10.1016/j.nicl.2019.101816', '10.1002/hipo.22818', '10.1016/j.neuropsychologia.2015.04.012']","{'Petrican, Raluca', 'Palombo, Daniela J.'}","['The Neural Dynamics of Individual Differences in Episodic Autobiographical Memory', 'Electroconvulsive therapy corrects the neural architecture of visuospatial memory: Implications for typical cognitive-affective functioning', 'Episodic autobiographical memory is associated with variation in the size of hippocampal subregions', 'Severely deficient autobiographical memory (SDAM) in healthy adults: A new mnemonic syndrome']"
456,"Westerhausen, Rene","['Roe, James M.']",['10.1093/cercor/bhz153'],"{'Roe, James M.'}",['Age-Related Differences in Functional Asymmetry During Memory Retrieval Revisited: No Evidence for Contralateral Overactivation or Compensation']
457,"Graham, Kim S.","['Hodgetts, Carl J.']",['10.1016/j.cortex.2019.10.017'],"{'Hodgetts, Carl J.'}",['The role of the fornix in human navigational learning']
458,"Cabeza, Roberto","['Wing, Erik A.', 'Dew, Ilana T. Z.', 'St. Jacques, Peggy', 'Tsukiura, Takashi']","['10.1523/JNEUROSCI.1766-19.2020', '10.1523/JNEUROSCI.1413-13.2013', '10.1162/jocn.2008.20091', '10.1016/j.neuropsychologia.2008.03.013']","{'Wing, Erik A.', 'Tsukiura, Takashi', 'St. Jacques, Peggy', 'Dew, Ilana T. Z.'}","['Cortical Overlap and Cortical-Hippocampal Interactions Predict Subsequent True and False Memory', 'A Broader View of Perirhinal Function: From Recognition Memory to Fluency-Based Decisions', 'The short and long of it: Neural correlates of temporal-order memory for autobiographical events', 'Orbitofrontal and hippocampal contributions to memory for face-name associations: The rewarding power of a smile']"
459,"Assaf, Yaniv","['Tavor, Ido']",['10.1002/hbm.24814'],"{'Tavor, Ido'}",['Short-term plasticity following motor sequence learning revealed by diffusion magnetic resonance imaging']
460,"Scholey, Andrew","['Peters, Riccarda']",['10.3389/fnagi.2020.00008'],"{'Peters, Riccarda'}",['Functional Connectivity of the Anterior and Posterior Hippocampus: Differential Effects of Glucose in Younger and Older Adults']
461,"Hort, Jakub","['Laczo, Jan', 'Nedelska, Zuzana']","['10.3233/JAD-200615', '10.1073/pnas.1121588109']","{'Nedelska, Zuzana', 'Laczo, Jan'}","['The Combined Effect of APOE and BDNF Va166Met Polymorphisms on Spatial Navigation in Older Adults', 'Spatial navigation impairment is proportional to right hippocampal volume']"
462,"Magnusson, Kathy R.","['Reynolds, Nadjalisse C.']",['10.1016/j.neuroimage.2019.116069'],"{'Reynolds, Nadjalisse C.'}",['Age-related differences in brain activations during spatial memory formation in a well-learned virtual Morris water maze (vMWM) task']
463,"Liu, Baolin","['Wang, Xiaojing']",['10.1016/j.neures.2018.11.009'],"{'Wang, Xiaojing'}",['Decoding natural scenes based on sounds of objects within scenes using multivariate pattern analysis']
464,"Spiers, Hugo J.","['Javadi, Amir-Homayoun', 'Javadi, Amir-Homayoun', 'Howard, Lorelei R.', 'Howard, Lorelei R.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.']","['10.1162/jocn_a_01414', '10.1038/ncomms14652', '10.1371/journal.pone.0067988', '10.1523/JNEUROSCI.6055-10.2011', '10.1093/brain/awl286', '10.1002/hipo.20233']","{'Maguire, Eleanor A.', 'Javadi, Amir-Homayoun', 'Howard, Lorelei R.'}","['Prefrontal Dynamics Associated with Efficient Detours and Shortcuts: A Combined Functional Magnetic Resonance Imaging and Magnetoencenphalography Study', 'Hippocampal and prefrontal processing of network topology to simulate the future', 'Dissociation between Dorsal and Ventral Posterior Parietal Cortical Responses to Incidental Changes in Natural Scenes', 'Double Dissociation between Hippocampal and Parahippocampal Responses to Object-Background Context and Scene Novelty', 'Navigation around London by a taxi driver with bilateral hippocampal lesions', 'London taxi drivers and bus drivers: A structural MRI and neuropsychological analysis']"
465,"Yang, Jiongjiong","['Chen, Haoyu']",['10.1523/JNEUROSCI.3181-18.2019'],"{'Chen, Haoyu'}",['Dissociation of the Perirhinal Cortex and Hippocampus During Discriminative Learning of Similar Objects']
466,"Kriegeskorte, Nikolaus","['Henriksson, Linda']",['10.1016/j.neuron.2019.04.014'],"{'Henriksson, Linda'}",['Rapid Invariant Encoding of Scene Layout in Human OPA']
467,"Martin, Alex","['Ramot, Michal', 'Gilmore, Adrian W.', 'Bellgowan, Patrick S. F.']","['10.1523/JNEUROSCI.0217-19.2019', '10.1016/j.neuropsychologia.2018.12.023', '10.1101/lm.1357309']","{'Bellgowan, Patrick S. F.', 'Ramot, Michal', 'Gilmore, Adrian W.'}","['Multifaceted Integration: Memory for Faces Is Subserved by Widespread Connections between Visual, Memory, Auditory, and Social Networks', 'Identifying task-general effects of stimulus familiarity in the parietal memory network', 'Lateralized spatial and object memory encoding in entorhinal and perirhinal cortices']"
468,"Gottfried, Jay A.","['Bao, Xiaojun']",['10.1016/j.neuron.2019.03.034'],"{'Bao, Xiaojun'}",['Grid-like Neural Representations Support Olfactory Navigation of a Two-Dimensional Odor Space']
469,"Chatterjee, Anjan","['Weisberg, Steven M.', 'Weisberg, Steven M.']","['10.1016/j.cortex.2018.12.024', '10.1523/JNEUROSCI.3250-17.2018']","{'Weisberg, Steven M.'}","['Everyday taxi drivers: Do better navigators have larger hippocampi?', 'Behavioral and Neural Representations of Spatial Directions across Words, Schemas, and Images']"
470,"Dickerson, Bradford C.","['Collins, Jessica A.']",['10.1002/hipo.23003'],"{'Collins, Jessica A.'}",['Functional connectivity in category-selective brain networks after encoding predicts subsequent memory']
471,"Killiany, Ronald","['Zajac, Lauren']",['10.1002/brb3.1236'],"{'Zajac, Lauren'}","[""Self-reported navigation ability is associated with optic flow-sensitive regions' functional connectivity patterns during visual path integration""]"
472,"Lee, Andy C. H.","['Thavabalasingam, Sathesan']",['10.1073/pnas.1819993116'],"{'Thavabalasingam, Sathesan'}",['Evidence for the incorporation of temporal duration information in human hippocampal long-term memory sequence representations']
473,"Honore, Jacques","['Saj, Arnaud']",['10.3389/fneur.2019.00142'],"{'Saj, Arnaud'}",['Functional Neuroanatomy of Vertical Visual Perception in Humans']
474,"Baker, Chris, I","['Silson, Edward H.']",['10.1523/JNEUROSCI.1219-18.2018'],"{'Silson, Edward H.'}",['A Posterior-Anterior Distinction between Scene Perception and Scene Construction in Human Medial Parietal Cortex']
475,"Rugg, Michael D.","['Koen, Joshua D.', 'de Chastelaine, Marianne', 'Addante, Richard James', 'Vilberg, Kaia L.', 'Vilberg, Kaia L.', 'Okada, Kayoko']","['10.1523/JNEUROSCI.1498-18.2018', '10.1016/j.neuroimage.2017.05.039', '10.1016/j.neuroimage.2014.10.046', '10.1080/17588928.2013.860088', '10.1523/JNEUROSCI.3065-12.2012', '10.1002/hbm.21229']","{'Koen, Joshua D.', 'de Chastelaine, Marianne', 'Vilberg, Kaia L.', 'Addante, Richard James', 'Okada, Kayoko'}","['The Relationship between Age, Neural Differentiation, and Memory Performance', 'Independent contributions of fMRI familiarity and novelty effects to recognition memory and their stability across the adult lifespan', 'Pre-stimulus neural activity predicts successful encoding of inter-item associations', 'Temporal dissociations within the core recollection network', 'The Neural Correlates of Recollection: Transient Versus Sustained fMRI Effects', 'Comparison of the neural correlates of retrieval success in tests of cued recall and recognition memory']"
476,"Tong, Raymond Kai-yu","['Wang, Xin']",['10.1162/netn_a_00105'],"{'Wang, Xin'}",['Synchronization lag in post stroke: relation to motor function and structural connectivity']
477,"Botvinick, Matthew M.","['Ribas-Fernandes, Jose J. F.']",['10.1162/jocn_a_01341'],"{'Ribas-Fernandes, Jose J. F.'}",['Subgoal- and Goal-related Reward Prediction Errors in Medial Prefrontal Cortex']
478,"Ranganath, Charan","['Roberts, Brooke M.', 'Hsieh, Liang-Tien', 'Libby, Laura A.']","['10.1016/j.bbr.2017.05.068', '10.1016/j.neuroimage.2015.07.040', '10.1523/JNEUROSCI.0655-14.2014']","{'Hsieh, Liang-Tien', 'Libby, Laura A.', 'Roberts, Brooke M.'}","['Brain activity related to working memory for temporal order and object information', 'Cortical and subcortical contributions to sequence retrieval: Schematic coding of temporal context in the neocortical recollection network', 'Medial Temporal Lobe Coding of Item and Spatial Information during Relational Binding in Working Memory']"
479,"Hegarty, Mary","['Burte, Heather']",['10.3389/fnhum.2018.00410'],"{'Burte, Heather'}",['The Neural Basis of Individual Differences in Directional Sense']
