,author,co-author,doi,co-author_list,title
275,"Rodriguez, Paul F.",[],"['10.1037/a0020231', '10.1002/hbm.20873']",set(),"['Human Navigation That Requires Calculating Heading Vectors Recruits Parietal Cortex in a Virtual and Visually Sparse Water Maze Task in fMRI', 'Neural Decoding of Goal Locations in Spatial Navigation in Humans With fMRI']"
276,"Janzen, Gabriele","['Jansen, Clemens', 'van Turennout, Miranda', 'Weststeijn, Cornelis G.', 'van Turennout, Miranda', 'Wegman, Joost', 'Wegman, Joost']","['10.1016/j.neuroimage.2010.03.083', '10.1002/hipo.20364', '10.1016/j.brainres.2007.05.074', '10.1093/cercor/bhl008', '10.1111/ejn.13416', '10.1002/hipo.22275']","{'Jansen, Clemens', 'van Turennout, Miranda', 'Wegman, Joost', 'Weststeijn, Cornelis G.'}","['A neural wayfinding mechanism adjusts for ambiguous landmark information', 'Memory consolidation of landmarks in good navigators', 'Neural representation of object location and route direction: An event-related fMRI study', 'Neural representation of navigational relevance is rapidly induced and long lasting', 'The brain-derived neurotrophic factor Val66Met polymorphism affects encoding of object locations during active navigation', 'Encoding and retrieval of landmark-related spatial cues during navigation: An fMRI study']"
277,"Mei, Leilei","['Dong, Qi']",['10.1016/j.neuroimage.2010.03.067'],"{'Dong, Qi'}",['The visual word form area is involved in successful memory encoding of both words and faces']
278,"Kupers, Ron","['Ptito, Maurice']",['10.1073/pnas.1006199107'],"{'Ptito, Maurice'}",['Neural correlates of virtual route recognition in congenital blindness']
279,"Mellet, Emmanuel","['Tzourio-Mazoyer, Nathalie']",['10.1002/hbm.20917'],"{'Tzourio-Mazoyer, Nathalie'}",['Impact of the Virtual Reality on the Neural Representation of an Environment']
280,"Giovanello, Kelly S.","['Schacter, Daniel L.']",['10.1162/jocn.2009.21274'],"{'Schacter, Daniel L.'}",['Age-related Neural Changes during Memory Conjunction Errors']
281,"Goodrich-Hunsaker, Naomi J.","['Hopkins, Ramona O.']",['10.1037/a0019193'],"{'Hopkins, Ramona O.'}",['Spatial Memory Deficits in a Virtual Radial Arm Maze in Amnesic Participants With Hippocampal Damage']
282,"Spreng, R. Nathan","['Grady, Cheryl L.']",['10.1162/jocn.2009.21282'],"{'Grady, Cheryl L.'}","['Patterns of Brain Activity Supporting Autobiographical Memory, Prospection, and Theory of Mind, and Their Relationship to the Default Mode Network']"
283,"Greve, Andrea","['Wilding, Edward L.']",['10.1523/JNEUROSCI.0345-10.2010'],"{'Wilding, Edward L.'}",['Functional Neuroanatomy Supporting Judgments of When Events Occurred']
284,"Botzung, Anne","['Rubin, David C.', 'Manning, Lilianne']","['10.3389/fnhum.2010.00034', '10.1016/j.bandc.2007.07.011']","{'Manning, Lilianne', 'Rubin, David C.'}","['Component neural systems for the creation of emotional memories during free viewing of a complex, real-world event', 'Experiencing past and future personal events: Functional neuroimaging evidence on the neural bases of mental time travel']"
285,"Schoening, Sonja","['Konrad, Carsten']",['10.1111/j.1743-6109.2009.01484.x'],"{'Konrad, Carsten'}",['Neuroimaging Differences in Spatial Cognition between Men and Male-to-Female Transsexuals Before and During Hormone Therapy']
286,"la Fougere, Christian","['Jahn, Klaus']",['10.1016/j.neuroimage.2009.12.060'],"{'Jahn, Klaus'}",['Real versus imagined locomotion: A [F-18]-FDG PET-fMRI comparison']
287,"Meulenbroek, Olga","['Fernandez, Guillen']",['10.1016/j.brainres.2009.12.011'],"{'Fernandez, Guillen'}",['Age-effects on associative object-location memory']
288,"Folley, Bradley S.","['Pearlson, Godfrey D.']",['10.1016/j.neuroimage.2009.11.034'],"{'Pearlson, Godfrey D.'}",['Anomalous neural circuit function in schizophrenia during a virtual Morris water task']
289,"Doeller, Christian F.","['Burgess, Neil', 'Theves, Stephanie', 'Nau, Matthias', 'Theves, Stephanie', 'Nau, Matthias', 'Deuker, Lorena']","['10.1038/nature08704', '10.1523/JNEUROSCI.0494-20.2020', '10.1038/s41467-020-17000-2', '10.1016/j.cub.2019.02.035', '10.1038/s41593-017-0050-8', '10.7554/eLife.16534']","{'Burgess, Neil', 'Theves, Stephanie', 'Deuker, Lorena', 'Nau, Matthias'}","['Evidence for grid cells in a human memory network', 'The Hippocampus Maps Concept Space, Not Feature Space', 'Behavior-dependent directional tuning in the human visual-navigation network', 'The Hippocampus Encodes Distances in Multidimensional Feature Space', 'Hexadirectional coding of visual space in human entorhinal cortex', 'An event map of memory space in the hippocampus']"
290,"Slotnick, Scott D.","['Jeye, Brittany M.']","['10.1016/j.neuroimage.2009.09.039', '10.1016/j.brainres.2018.02.029']","{'Jeye, Brittany M.'}","['Does the hippocampus mediate objective binding or subjective remembering?', 'Distinct regions of the hippocampus are associated with memory for different spatial locations']"
291,"Manenti, R.","['Cappa, S. F.']",['10.1007/s10548-009-0126-1'],"{'Cappa, S. F.'}",['The Neural Bases of Word Encoding and Retrieval: A fMRI-Guided Transcranial Magnetic Stimulation Study']
292,"Axmacher, Nikolai","['Fell, Juergen', 'Fell, Juergen']","['10.1111/j.1460-9568.2009.07041.x', '10.1093/cercor/bhm084']","{'Fell, Juergen'}","['Electrophysiological signature of working and long-term memory interaction in the human hippocampus', 'The role of sleep in declarative memory consolidation - Direct evidence by intracranial EEG']"
